Clock,sensor,dayofyear,hour,dayofweek,quarter,month,year,lag1,lag2,lag3
2022-12-20 00:00:00,19,354,0,1,4,12,2022,,,
2022-12-20 01:00:00,19,354,1,1,4,12,2022,,,
2022-12-20 02:00:00,19,354,2,1,4,12,2022,,,
2022-12-20 03:00:00,19,354,3,1,4,12,2022,,,
2022-12-20 04:00:00,19,354,4,1,4,12,2022,,,
2022-12-20 05:00:00,19,354,5,1,4,12,2022,,,
2022-12-20 06:00:00,19,354,6,1,4,12,2022,,,
2022-12-20 07:00:00,19,354,7,1,4,12,2022,,,
2022-12-20 08:00:00,19,354,8,1,4,12,2022,,,
2022-12-20 09:00:00,19,354,9,1,4,12,2022,,,
2022-12-20 10:00:00,19,354,10,1,4,12,2022,,,
2022-12-20 11:00:00,19,354,11,1,4,12,2022,,,
2022-12-20 12:00:00,19,354,12,1,4,12,2022,,,
2022-12-20 13:00:00,19,354,13,1,4,12,2022,,,
2022-12-20 14:00:00,19,354,14,1,4,12,2022,,,
2022-12-20 15:00:00,19,354,15,1,4,12,2022,,,
2022-12-20 16:00:00,19,354,16,1,4,12,2022,,,
2022-12-20 17:00:00,19,354,17,1,4,12,2022,,,
2022-12-20 18:00:00,19,354,18,1,4,12,2022,,,
2022-12-20 19:00:00,19,354,19,1,4,12,2022,,,
2022-12-20 20:00:00,19,354,20,1,4,12,2022,,,
2022-12-20 21:00:00,19,354,21,1,4,12,2022,,,
2022-12-20 22:00:00,19,354,22,1,4,12,2022,,,
2022-12-20 23:00:00,19,354,23,1,4,12,2022,,,
2022-12-21 00:00:00,19,355,0,2,4,12,2022,,,
2022-12-21 01:00:00,19,355,1,2,4,12,2022,,,
2022-12-21 02:00:00,19,355,2,2,4,12,2022,,,
2022-12-21 03:00:00,19,355,3,2,4,12,2022,,,
2022-12-21 04:00:00,19,355,4,2,4,12,2022,,,
2022-12-21 05:00:00,19,355,5,2,4,12,2022,,,
2022-12-21 06:00:00,19,355,6,2,4,12,2022,,,
2022-12-21 07:00:00,19,355,7,2,4,12,2022,,,
2022-12-21 08:00:00,19,355,8,2,4,12,2022,,,
2022-12-21 09:00:00,19,355,9,2,4,12,2022,,,
2022-12-21 10:00:00,19,355,10,2,4,12,2022,,,
2022-12-21 11:00:00,19,355,11,2,4,12,2022,,,
2022-12-21 12:00:00,19,355,12,2,4,12,2022,,,
2022-12-21 13:00:00,19,355,13,2,4,12,2022,,,
2022-12-21 14:00:00,19,355,14,2,4,12,2022,,,
2022-12-21 15:00:00,19,355,15,2,4,12,2022,,,
2022-12-21 16:00:00,19,355,16,2,4,12,2022,,,
2022-12-21 17:00:00,19,355,17,2,4,12,2022,,,
2022-12-21 18:00:00,19,355,18,2,4,12,2022,,,
2022-12-21 19:00:00,19,355,19,2,4,12,2022,,,
2022-12-21 20:00:00,19,355,20,2,4,12,2022,,,
2022-12-21 21:00:00,19,355,21,2,4,12,2022,,,
2022-12-21 22:00:00,19,355,22,2,4,12,2022,,,
2022-12-21 23:00:00,19,355,23,2,4,12,2022,,,
2022-12-22 00:00:00,19,356,0,3,4,12,2022,,,
2022-12-22 01:00:00,19,356,1,3,4,12,2022,,,
